Rank,Major_code,Major,Total,Men,Women,Major_category,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,College_jobs,Non_college_jobs,Low_wage_jobs
1,2419,PETROLEUM ENGINEERING,2339,2057,282,Engineering,36,1976,1849,270,1207,37,0.01838052,11000,1534,364,193
2,2416,MINING AND MINERAL ENGINEERING,756,679,77,Engineering,7,640,556,170,388,85,0.11724137,75000,350,257,50
3,2415,METULLARGY ENGINEERING,856,725,131,Engineering,3,648,558,133,340,16,0.02409638,73000,456,176,0
4,2417,NAVAL,1258,1123,135,Engineering,16,758,1069,150,692,40,0.05012531,70000,529,102,0
5,2405,CHEMICAL ENGINEERING,32260,21239,11021,Engineering,289,25694,23170,5180,16697,1672,0.06109771,65000,18314,4440,972
6,2418,NUCLEAR,2573,2200,373,Engineering,17,1857,2038,264,1449,400,0.177,65000,1142,657,244
7,6202,ACTUARIAL ENGINEERING,3777,2110,1667,Business,51,2912,2924,296,2482,308,0.0957,62000,1768,314,259
8,5001,ASTRONOMY,1792,832,960,Physical Science,10,1526,1085,553,827,33,0.0212,62000,972,500,220
9,2414,MECHANICAL ENGINEERING,91227,80320,10907,Engineering,1029,76442,71298,13101,54639,4650,0.0573,60000,52884,16834,3253
10,2408,ELECTRICAL ENGINEERING,81527,65511,16016,Engineering,631,61928,55450,12695,41413,3895,0.0592,60000,45829,10874,3170