"","FILM","Rating","Rating_site"
"1","Avengers: Age of Ultron (2015)",4.3,"Rotten Tomatoes"
"2","Cinderella (2015)",4,"Rotten Tomatoes"
"3","Ant-Man (2015)",4.5,"Rotten Tomatoes"
"4","Do You Believe? (2015)",4.2,"Rotten Tomatoes"
"5","Hot Tub Time Machine 2 (2015)",1.4,"Rotten Tomatoes"
"6","The Water Diviner (2015)",3.1,"Rotten Tomatoes"
"7","Irrational Man (2015)",2.65,"Rotten Tomatoes"
"8","Top Five (2014)",3.2,"Rotten Tomatoes"
"9","Shaun the Sheep Movie (2015)",4.1,"Rotten Tomatoes"
"10","Love & Mercy (2015)",4.35,"Rotten Tomatoes"
"11","Far From The Madding Crowd (2015)",3.85,"Rotten Tomatoes"
"12","Black Sea (2015)",3,"Rotten Tomatoes"
"13","Leviathan (2014)",3.95,"Rotten Tomatoes"
"14","Unbroken (2014)",3.5,"Rotten Tomatoes"
"15","The Imitation Game (2014)",4.6,"Rotten Tomatoes"
"16","Taken 3 (2015)",2.3,"Rotten Tomatoes"
"17","Ted 2 (2015)",2.9,"Rotten Tomatoes"
"18","Southpaw (2015)",4,"Rotten Tomatoes"
"19","Night at the Museum: Secret of the Tomb (2014)",2.9,"Rotten Tomatoes"
"20","Pixels (2015)",2.7,"Rotten Tomatoes"
"21","McFarland, USA (2015)",4.45,"Rotten Tomatoes"
"22","Insidious: Chapter 3 (2015)",2.8,"Rotten Tomatoes"
"23","The Man From U.N.C.L.E. (2015)",4,"Rotten Tomatoes"
"24","Run All Night (2015)",2.95,"Rotten Tomatoes"
"25","Trainwreck (2015)",3.7,"Rotten Tomatoes"
"26","Selma (2014)",4.3,"Rotten Tomatoes"
"27","Ex Machina (2015)",4.3,"Rotten Tomatoes"
"28","Still Alice (2015)",4.25,"Rotten Tomatoes"
"29","Wild Tales (2014)",4.6,"Rotten Tomatoes"
"30","The End of the Tour (2015)",4.45,"Rotten Tomatoes"
"31","Red Army (2015)",4.3,"Rotten Tomatoes"
"32","When Marnie Was There (2015)",4.45,"Rotten Tomatoes"
"33","The Hunting Ground (2015)",3.6,"Rotten Tomatoes"
"34","The Boy Next Door (2015)",1.75,"Rotten Tomatoes"
"35","Aloha (2015)",1.55,"Rotten Tomatoes"
"36","The Loft (2015)",2,"Rotten Tomatoes"
"37","5 Flights Up (2015)",2.35,"Rotten Tomatoes"
"38","Welcome to Me (2015)",2.35,"Rotten Tomatoes"
"39","Saint Laurent (2015)",2.25,"Rotten Tomatoes"
"40","Maps to the Stars (2015)",2.3,"Rotten Tomatoes"
"41","I'll See You In My Dreams (2015)",3.5,"Rotten Tomatoes"
"42","Timbuktu (2015)",3.9,"Rotten Tomatoes"
"43","About Elly (2015)",4.3,"Rotten Tomatoes"
"44","The Diary of a Teenage Girl (2015)",4.05,"Rotten Tomatoes"
"45","Kingsman: The Secret Service (2015)",4.2,"Rotten Tomatoes"
"46","Tomorrowland (2015)",2.65,"Rotten Tomatoes"
"47","The Divergent Series: Insurgent (2015)",3.05,"Rotten Tomatoes"
"48","Annie (2014)",3.05,"Rotten Tomatoes"
"49","Fantastic Four (2015)",1,"Rotten Tomatoes"
"50","Terminator Genisys (2015)",3,"Rotten Tomatoes"
"51","Pitch Perfect 2 (2015)",3.4,"Rotten Tomatoes"
"52","Entourage (2015)",3.4,"Rotten Tomatoes"
"53","The Age of Adaline (2015)",3.4,"Rotten Tomatoes"
"54","Hot Pursuit (2015)",1.85,"Rotten Tomatoes"
"55","The DUFF (2015)",3.4,"Rotten Tomatoes"
"56","Black or White (2015)",3.4,"Rotten Tomatoes"
"57","Project Almanac (2015)",2.3,"Rotten Tomatoes"
"58","Ricki and the Flash (2015)",2.65,"Rotten Tomatoes"
"59","Seventh Son (2015)",1.75,"Rotten Tomatoes"
"60","Mortdecai (2015)",1.5,"Rotten Tomatoes"
"61","Unfinished Business (2015)",1.35,"Rotten Tomatoes"
"62","American Ultra (2015)",2.6,"Rotten Tomatoes"
"63","True Story (2015)",2.05,"Rotten Tomatoes"
"64","Child 44 (2015)",2.2,"Rotten Tomatoes"
"65","Dark Places (2015)",1.65,"Rotten Tomatoes"
"66","Birdman (2014)",3.9,"Rotten Tomatoes"
"67","The Gift (2015)",3.95,"Rotten Tomatoes"
"68","Unfriended (2015)",1.95,"Rotten Tomatoes"
"69","Monkey Kingdom (2015)",3.85,"Rotten Tomatoes"
"70","Mr. Turner (2014)",2.8,"Rotten Tomatoes"
"71","Seymour: An Introduction (2015)",4.35,"Rotten Tomatoes"
"72","The Wrecking Crew (2015)",4.2,"Rotten Tomatoes"
"73","American Sniper (2015)",4.25,"Rotten Tomatoes"
"74","Furious 7 (2015)",4.2,"Rotten Tomatoes"
"75","The Hobbit: The Battle of the Five Armies (2014)",3.75,"Rotten Tomatoes"
"76","San Andreas (2015)",2.9,"Rotten Tomatoes"
"77","Straight Outta Compton (2015)",4.7,"Rotten Tomatoes"
"78","Vacation (2015)",2.75,"Rotten Tomatoes"
"79","Chappie (2015)",2.85,"Rotten Tomatoes"
"80","Poltergeist (2015)",1.2,"Rotten Tomatoes"
"81","Paper Towns (2015)",2.85,"Rotten Tomatoes"
"82","Big Eyes (2014)",3.45,"Rotten Tomatoes"
"83","Blackhat (2015)",1.25,"Rotten Tomatoes"
"84","Self/less (2015)",2.55,"Rotten Tomatoes"
"85","Sinister 2 (2015)",1.7,"Rotten Tomatoes"
"86","Little Boy (2015)",4.05,"Rotten Tomatoes"
"87","Me and Earl and The Dying Girl (2015)",4.45,"Rotten Tomatoes"
"88","Maggie (2015)",1.6,"Rotten Tomatoes"
"89","Mad Max: Fury Road (2015)",4.4,"Rotten Tomatoes"
"90","Spy (2015)",4.1,"Rotten Tomatoes"
"91","The SpongeBob Movie: Sponge Out of Water (2015)",2.75,"Rotten Tomatoes"
"92","Paddington (2015)",4.05,"Rotten Tomatoes"
"93","Dope (2015)",4.3,"Rotten Tomatoes"
"94","What We Do in the Shadows (2015)",4.3,"Rotten Tomatoes"
"95","The Overnight (2015)",3.25,"Rotten Tomatoes"
"96","The Salt of the Earth (2015)",4.5,"Rotten Tomatoes"
"97","Song of the Sea (2014)",4.6,"Rotten Tomatoes"
"98","Fifty Shades of Grey (2015)",2.1,"Rotten Tomatoes"
"99","Get Hard (2015)",2.4,"Rotten Tomatoes"
"100","Focus (2015)",2.7,"Rotten Tomatoes"
"101","Jupiter Ascending (2015)",2,"Rotten Tomatoes"
"102","The Gallows (2015)",1.35,"Rotten Tomatoes"
"103","The Second Best Exotic Marigold Hotel (2015)",3.15,"Rotten Tomatoes"
"104","Strange Magic (2015)",2.5,"Rotten Tomatoes"
"105","The Gunman (2015)",1.7,"Rotten Tomatoes"
"106","Hitman: Agent 47 (2015)",2.45,"Rotten Tomatoes"
"107","Cake (2015)",2.35,"Rotten Tomatoes"
"108","The Vatican Tapes (2015)",1.05,"Rotten Tomatoes"
"109","A Little Chaos (2015)",2.35,"Rotten Tomatoes"
"110","The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015)",3.45,"Rotten Tomatoes"
"111","Escobar: Paradise Lost (2015)",2.6,"Rotten Tomatoes"
"112","Into the Woods (2014)",2.5,"Rotten Tomatoes"
"113","It Follows (2015)",3.25,"Rotten Tomatoes"
"114","Inherent Vice (2014)",2.6,"Rotten Tomatoes"
"115","A Most Violent Year (2014)",3.45,"Rotten Tomatoes"
"116","While We're Young (2015)",2.6,"Rotten Tomatoes"
"117","Clouds of Sils Maria (2015)",3.35,"Rotten Tomatoes"
"118","Testament of Youth (2015)",3.95,"Rotten Tomatoes"
"119","Infinitely Polar Bear (2015)",3.8,"Rotten Tomatoes"
"120","Phoenix (2015)",4.05,"Rotten Tomatoes"
"121","The Wolfpack (2015)",3.65,"Rotten Tomatoes"
"122","The Stanford Prison Experiment (2015)",4.35,"Rotten Tomatoes"
"123","Tangerine (2015)",4.3,"Rotten Tomatoes"
"124","Magic Mike XXL (2015)",3.2,"Rotten Tomatoes"
"125","Home (2015)",3.25,"Rotten Tomatoes"
"126","The Wedding Ringer (2015)",3.3,"Rotten Tomatoes"
"127","Woman in Gold (2015)",4.05,"Rotten Tomatoes"
"128","The Last Five Years (2015)",3,"Rotten Tomatoes"
"129","Mission: Impossible â€“ Rogue Nation (2015)",4.5,"Rotten Tomatoes"
"130","Amy (2015)",4.55,"Rotten Tomatoes"
"131","Jurassic World (2015)",4.05,"Rotten Tomatoes"
"132","Minions (2015)",2.6,"Rotten Tomatoes"
"133","Max (2015)",3.65,"Rotten Tomatoes"
"134","Paul Blart: Mall Cop 2 (2015)",1.8,"Rotten Tomatoes"
"135","The Longest Ride (2015)",3.65,"Rotten Tomatoes"
"136","The Lazarus Effect (2015)",1.15,"Rotten Tomatoes"
"137","The Woman In Black 2 Angel of Death (2015)",1.25,"Rotten Tomatoes"
"138","Danny Collins (2015)",3.75,"Rotten Tomatoes"
"139","Spare Parts (2015)",4.15,"Rotten Tomatoes"
"140","Serena (2015)",1.25,"Rotten Tomatoes"
"141","Inside Out (2015)",4.5,"Rotten Tomatoes"
"142","Mr. Holmes (2015)",3.9,"Rotten Tomatoes"
"143","'71 (2015)",4.1,"Rotten Tomatoes"
"144","Two Days, One Night (2014)",3.9,"Rotten Tomatoes"
"145","Gett: The Trial of Viviane Amsalem (2015)",4.05,"Rotten Tomatoes"
"146","Kumiko, The Treasure Hunter (2015)",3.15,"Rotten Tomatoes"
"147","Avengers: Age of Ultron (2015)",3.9,"IMDB"
"148","Cinderella (2015)",3.55,"IMDB"
"149","Ant-Man (2015)",3.9,"IMDB"
"150","Do You Believe? (2015)",2.7,"IMDB"
"151","Hot Tub Time Machine 2 (2015)",2.55,"IMDB"
"152","The Water Diviner (2015)",3.6,"IMDB"
"153","Irrational Man (2015)",3.45,"IMDB"
"154","Top Five (2014)",3.25,"IMDB"
"155","Shaun the Sheep Movie (2015)",3.7,"IMDB"
"156","Love & Mercy (2015)",3.9,"IMDB"
"157","Far From The Madding Crowd (2015)",3.6,"IMDB"
"158","Black Sea (2015)",3.2,"IMDB"
"159","Leviathan (2014)",3.85,"IMDB"
"160","Unbroken (2014)",3.6,"IMDB"
"161","The Imitation Game (2014)",4.05,"IMDB"
"162","Taken 3 (2015)",3.05,"IMDB"
"163","Ted 2 (2015)",3.3,"IMDB"
"164","Southpaw (2015)",3.9,"IMDB"
"165","Night at the Museum: Secret of the Tomb (2014)",3.15,"IMDB"
"166","Pixels (2015)",2.8,"IMDB"
"167","McFarland, USA (2015)",3.75,"IMDB"
"168","Insidious: Chapter 3 (2015)",3.15,"IMDB"
"169","The Man From U.N.C.L.E. (2015)",3.8,"IMDB"
"170","Run All Night (2015)",3.3,"IMDB"
"171","Trainwreck (2015)",3.35,"IMDB"
"172","Selma (2014)",3.75,"IMDB"
"173","Ex Machina (2015)",3.85,"IMDB"
"174","Still Alice (2015)",3.75,"IMDB"
"175","Wild Tales (2014)",4.1,"IMDB"
"176","The End of the Tour (2015)",3.95,"IMDB"
"177","Red Army (2015)",3.85,"IMDB"
"178","When Marnie Was There (2015)",3.9,"IMDB"
"179","The Hunting Ground (2015)",3.75,"IMDB"
"180","The Boy Next Door (2015)",2.3,"IMDB"
"181","Aloha (2015)",2.75,"IMDB"
"182","The Loft (2015)",3.15,"IMDB"
"183","5 Flights Up (2015)",3.05,"IMDB"
"184","Welcome to Me (2015)",2.95,"IMDB"
"185","Saint Laurent (2015)",3.15,"IMDB"
"186","Maps to the Stars (2015)",3.15,"IMDB"
"187","I'll See You In My Dreams (2015)",3.45,"IMDB"
"188","Timbuktu (2015)",3.6,"IMDB"
"189","About Elly (2015)",4.1,"IMDB"
"190","The Diary of a Teenage Girl (2015)",3.5,"IMDB"
"191","Kingsman: The Secret Service (2015)",3.9,"IMDB"
"192","Tomorrowland (2015)",3.3,"IMDB"
"193","The Divergent Series: Insurgent (2015)",3.2,"IMDB"
"194","Annie (2014)",2.6,"IMDB"
"195","Fantastic Four (2015)",2,"IMDB"
"196","Terminator Genisys (2015)",3.45,"IMDB"
"197","Pitch Perfect 2 (2015)",3.35,"IMDB"
"198","Entourage (2015)",3.55,"IMDB"
"199","The Age of Adaline (2015)",3.65,"IMDB"
"200","Hot Pursuit (2015)",2.45,"IMDB"
"201","The DUFF (2015)",3.3,"IMDB"
"202","Black or White (2015)",3.3,"IMDB"
"203","Project Almanac (2015)",3.2,"IMDB"
"204","Ricki and the Flash (2015)",3.1,"IMDB"
"205","Seventh Son (2015)",2.75,"IMDB"
"206","Mortdecai (2015)",2.75,"IMDB"
"207","Unfinished Business (2015)",2.7,"IMDB"
"208","American Ultra (2015)",3.25,"IMDB"
"209","True Story (2015)",3.15,"IMDB"
"210","Child 44 (2015)",3.2,"IMDB"
"211","Dark Places (2015)",3.15,"IMDB"
"212","Birdman (2014)",3.95,"IMDB"
"213","The Gift (2015)",3.8,"IMDB"
"214","Unfriended (2015)",2.95,"IMDB"
"215","Monkey Kingdom (2015)",3.65,"IMDB"
"216","Mr. Turner (2014)",3.45,"IMDB"
"217","Seymour: An Introduction (2015)",3.85,"IMDB"
"218","The Wrecking Crew (2015)",3.9,"IMDB"
"219","American Sniper (2015)",3.7,"IMDB"
"220","Furious 7 (2015)",3.7,"IMDB"
"221","The Hobbit: The Battle of the Five Armies (2014)",3.75,"IMDB"
"222","San Andreas (2015)",3.25,"IMDB"
"223","Straight Outta Compton (2015)",4.2,"IMDB"
"224","Vacation (2015)",3.15,"IMDB"
"225","Chappie (2015)",3.5,"IMDB"
"226","Poltergeist (2015)",2.5,"IMDB"
"227","Paper Towns (2015)",3.45,"IMDB"
"228","Big Eyes (2014)",3.5,"IMDB"
"229","Blackhat (2015)",2.7,"IMDB"
"230","Self/less (2015)",3.3,"IMDB"
"231","Sinister 2 (2015)",2.75,"IMDB"
"232","Little Boy (2015)",3.7,"IMDB"
"233","Me and Earl and The Dying Girl (2015)",4.1,"IMDB"
"234","Maggie (2015)",2.8,"IMDB"
"235","Mad Max: Fury Road (2015)",4.15,"IMDB"
"236","Spy (2015)",3.65,"IMDB"
"237","The SpongeBob Movie: Sponge Out of Water (2015)",3.05,"IMDB"
"238","Paddington (2015)",3.6,"IMDB"
"239","Dope (2015)",3.75,"IMDB"
"240","What We Do in the Shadows (2015)",3.8,"IMDB"
"241","The Overnight (2015)",3.45,"IMDB"
"242","The Salt of the Earth (2015)",4.2,"IMDB"
"243","Song of the Sea (2014)",4.1,"IMDB"
"244","Fifty Shades of Grey (2015)",2.1,"IMDB"
"245","Get Hard (2015)",3.05,"IMDB"
"246","Focus (2015)",3.3,"IMDB"
"247","Jupiter Ascending (2015)",2.75,"IMDB"
"248","The Gallows (2015)",2.2,"IMDB"
"249","The Second Best Exotic Marigold Hotel (2015)",3.3,"IMDB"
"250","Strange Magic (2015)",2.85,"IMDB"
"251","The Gunman (2015)",2.9,"IMDB"
"252","Hitman: Agent 47 (2015)",2.95,"IMDB"
"253","Cake (2015)",3.25,"IMDB"
"254","The Vatican Tapes (2015)",2.3,"IMDB"
"255","A Little Chaos (2015)",3.2,"IMDB"
"256","The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015)",3.55,"IMDB"
"257","Escobar: Paradise Lost (2015)",3.3,"IMDB"
"258","Into the Woods (2014)",3,"IMDB"
"259","It Follows (2015)",3.45,"IMDB"
"260","Inherent Vice (2014)",3.35,"IMDB"
"261","A Most Violent Year (2014)",3.55,"IMDB"
"262","While We're Young (2015)",3.2,"IMDB"
"263","Clouds of Sils Maria (2015)",3.4,"IMDB"
"264","Testament of Youth (2015)",3.65,"IMDB"
"265","Infinitely Polar Bear (2015)",3.6,"IMDB"
"266","Phoenix (2015)",3.6,"IMDB"
"267","The Wolfpack (2015)",3.55,"IMDB"
"268","The Stanford Prison Experiment (2015)",3.55,"IMDB"
"269","Tangerine (2015)",3.7,"IMDB"
"270","Magic Mike XXL (2015)",3.15,"IMDB"
"271","Home (2015)",3.35,"IMDB"
"272","The Wedding Ringer (2015)",3.35,"IMDB"
"273","Woman in Gold (2015)",3.7,"IMDB"
"274","The Last Five Years (2015)",3,"IMDB"
"275","Mission: Impossible â€“ Rogue Nation (2015)",3.9,"IMDB"
"276","Amy (2015)",4,"IMDB"
"277","Jurassic World (2015)",3.65,"IMDB"
"278","Minions (2015)",3.35,"IMDB"
"279","Max (2015)",3.5,"IMDB"
"280","Paul Blart: Mall Cop 2 (2015)",2.15,"IMDB"
"281","The Longest Ride (2015)",3.6,"IMDB"
"282","The Lazarus Effect (2015)",2.6,"IMDB"
"283","The Woman In Black 2 Angel of Death (2015)",2.45,"IMDB"
"284","Danny Collins (2015)",3.55,"IMDB"
"285","Spare Parts (2015)",3.6,"IMDB"
"286","Serena (2015)",2.7,"IMDB"
"287","Inside Out (2015)",4.3,"IMDB"
"288","Mr. Holmes (2015)",3.7,"IMDB"
"289","'71 (2015)",3.6,"IMDB"
